"","Skipaskrárnúmer","Lengd","Brúttórúmmál","Brúttótonn","WSA","gerd"
"1",78,39.4,227.24,356,490.558187837398,"storir"
"2",89,36.05,178.55,276.83,421.62848899316,"storir"
"3",173,31.76,123.96,188.56,334.609503034506,"storir"
"4",177,27.09,0,186.68,332.597132789749,"midlungs"
"5",182,28.95,198.56,293.08,436.358371375982,"midlungs"
"6",233,40.09,252.16,366.53,499.242518347786,"storir"
"7",253,37.22,243.83,344,480.53587112657,"storir"
"8",264,49,331.12,471.17,580.725054859057,"storir"
"9",363,24.6,80.6,91.99,217.214834966669,"midlungs"
"10",396,10.42,7.9,10.05,57.2824519202502,"litlir"
"11",530,21.84,63.71,53,155.858934728196,"midlungs"
"12",741,20.9,64.21,61,169.623566625916,"midlungs"
"13",795,27.43,95.85,108.88,240.414353918235,"midlungs"
"14",926,22.43,51.12,58,164.551286554684,"midlungs"
"15",968,38.95,243.43,349,484.728479845154,"storir"
"16",972,41.71,256.44,400.98,526.984088342252,"storir"
"17",975,41.43,260.54,435.59,553.914235321981,"storir"
"18",1006,47.74,334.13,505.9,606.128307651508,"storir"
"19",1019,34.86,199.5,317,457.462296596495,"storir"
"20",1028,39.46,256.34,393.59,521.115692770282,"storir"
"21",1030,43.9,298.62,402.13,527.893418342036,"storir"
"22",1043,31.54,149.65,212,359.063961726287,"storir"
"23",1054,26.95,101.01,175.58,320.546919035352,"midlungs"
"24",1062,52.07,407.58,575.28,654.884865727041,"storir"
"25",1076,56.76,480.64,704.43,739.802869880787,"storir"
"26",1081,23.17,60.77,54,157.622667700198,"midlungs"
"27",1084,35.99,161.92,271.09,416.343659924914,"storir"
"28",1092,12.08,0,13.43,68.2054988553461,"litlir"
"29",1102,16.88,34.76,30.36,111.445694237403,"midlungs"
"30",1126,22.97,62.15,65,176.234719156358,"midlungs"
"31",1131,55.88,776.61,822,811.840034947583,"storir"
"32",1134,33.3,152.95,236,383.010478670693,"storir"
"33",1136,47,0,575.06,654.734087752227,"storir"
"34",1149,13.56,14.27,22.33,92.6293552985071,"litlir"
"35",1178,23.32,61.87,61,169.623566625916,"midlungs"
"36",1184,14.76,19.99,25.5,100.335546084652,"litlir"
"37",1202,35.37,150.84,255,401.286748709691,"storir"
"38",1246,28.15,99.2,183,328.634524543292,"midlungs"
"39",1254,17.2,29.36,28,106.146765511304,"midlungs"
"40",1272,52.6,486.48,671.54,718.811316360071,"storir"
"41",1274,57.89,582.96,849,827.789778785445,"storir"
"42",1277,55.9,549.27,843.95,824.822109979955,"storir"
"43",1281,53.87,550.17,819.35,810.263440614755,"storir"
"44",1303,17.4,28.83,24,96.7397136605781,"midlungs"
"45",1304,28.8,112.66,200.68,347.396224059167,"midlungs"
"46",1318,21.78,59.03,66.37,178.461551493634,"midlungs"
"47",1321,33.86,161.66,242.4,389.229962683168,"storir"
"48",1324,26.72,101.16,159.56,302.606250738591,"midlungs"
"49",1343,32.27,0,252.21,398.637853767142,"storir"
"50",1345,78.9,1065.22,1723,1267.53910622173,"storir"
"51",1351,69.74,0,1318.89,1079.15342260651,"storir"
"52",1360,69.57,0,1190.59,1014.6739081439,"storir"
"53",1371,24.68,77.89,75.32,192.582862434735,"midlungs"
"54",1399,29.29,108.36,194.92,341.358863947571,"midlungs"
"55",1401,52.82,446.46,601.15,672.458219939377,"storir"
"56",1403,17.6,40.91,35,121.407800932146,"midlungs"
"57",1416,48.87,0,714,745.837050189588,"storir"
"58",1426,29.65,115.32,189.99,336.134846402311,"midlungs"
"59",1429,11.82,9.76,11.66,62.6426551696318,"litlir"
"60",1434,23.29,73.01,76.98,195.126893269586,"midlungs"
"61",1440,17.07,27.37,25,99.1465291404313,"midlungs"
"62",1451,49.85,0,686.33,728.300294602244,"storir"
"63",1458,26.92,98.76,159.87,302.960039686844,"midlungs"
"64",1476,49.85,424.45,658.2,710.181038413147,"storir"
"65",1489,11.16,12.81,14.34,70.9512774521771,"litlir"
"66",1499,17.47,28.83,28.83,108.02993251574,"midlungs"
"67",1500,10.3,8.3,11.49,62.091233464735,"litlir"
"68",1502,16.45,29.01,23,94.2926382848982,"midlungs"
"69",1511,11.16,14.5,14.03,70.0239085109859,"litlir"
"70",1516,11.87,11.12,14.92,72.6651980568121,"litlir"
"71",1523,11.52,10.94,13.65,68.8759316221712,"litlir"
"72",1525,74.29,1181.07,1692.53,1253.99708800732,"storir"
"73",1527,23.48,72.52,83.75,205.283710578675,"midlungs"
"74",1540,10.07,7.61,7.51,48.0676479984884,"litlir"
"75",1542,11.39,14.26,12.86,66.4478132461237,"litlir"
"76",1543,17.5,29.92,40.43,132.419908166323,"midlungs"
"77",1544,8.77,8.46,8.5,51.7878430754939,"litlir"
"78",1546,15.28,23.33,20.34,87.5678932009414,"midlungs"
"79",1560,8.33,6.15,4.7,36.2510458486417,"litlir"
"80",1561,8.85,4.92,5.45,39.6303880134662,"litlir"
"81",1565,9.42,0,9.09,53.9228810096477,"litlir"
"82",1568,9.78,7.32,9.15,54.1368682420567,"litlir"
"83",1578,57,485.46,878,844.697733055773,"storir"
"84",1579,68.2,627.84,1141,989.016615961394,"storir"
"85",1585,50.85,431.18,716.43,747.364105398314,"storir"
"86",1587,14.9,26.17,25.44,100.193357114898,"litlir"
"87",1590,7.3,3.9,3.78,31.7956489652511,"litlir"
"88",1591,38.69,237.58,358,492.215416679178,"storir"
"89",1595,28.95,192.01,292.06,435.443510704367,"midlungs"
"90",1611,17.55,28.91,38.57,128.718186583128,"midlungs"
"91",1618,8.75,8.59,7.8,49.1766092803739,"litlir"
"92",1621,11.49,11.24,13.07,67.0989205906953,"litlir"
"93",1629,28.93,177.58,237.36,384.337680773258,"midlungs"
"94",1636,21.2,0,67.62,180.477422635354,"midlungs"
"95",1637,11.8,11.96,14.62,71.7820650984318,"litlir"
"96",1642,13.11,11.24,18.89,83.7547156932892,"litlir"
"97",1645,38.99,273.68,477.92,585.719204204467,"storir"
"98",1650,12.6,11.92,13.54,68.5412571868401,"litlir"
"99",1661,49.86,423.45,674,720.395328294543,"storir"
"100",1664,28.9,113.69,237.24,384.22069666466,"midlungs"
"101",1666,12.72,11.62,18.83,83.5944650130758,"litlir"
"102",1674,25.99,144.15,202.11,348.884348638949,"midlungs"
"103",1684,8.86,6.78,7.39,47.6037956250544,"litlir"
"104",1695,8.78,5.32,5.96,41.8230670759452,"litlir"
"105",1730,10.22,9.71,10.39,58.4413432839016,"litlir"
