Sveitarfélag;Staðsetning;Stærð;Ferm.;Byggður;Lýsing;Hitaður;Tegund grass og fylliefnis;Gerð
Garðabær;Garðaskóli;22*44;968;1999;Ljós;Hiti;Desso, svart dekkjakurl;Sparkvellir
Garðabær;Stjarnan, Flataskóli;18*33;594;2004;Ljós;Hiti;Fieldturf, svart dekkjakurl;Sparkvellir
Garðabær;Hofsstaðaskóli;18*33;594;;Ljós;Hiti;Fieldturf, svart dekkjakurl;Sparkvellir
Garðabær;Ásar;594;594;;Ljós;Hiti;Fieldturf, svart dekkjakurl;Sparkvellir
Garðabær;Stjarnan, Flataskóli;18*33;594;2004;Ljós;Hiti;Fieldturf, svart dekkjakurl;Sparkvellir
Grindavíkurbær;Hópskóli;18*33;594;2009;Ljós;Hiti;Greenfield, svart dekkjakurl;Sparkvellir
Hafnarfjarðarbær;Lækjarskóli;18*33;594;2009;;;Greenfield, svart dekkjakurl;Sparkvellir
Hafnarfjarðarbær;Hraunvallaskóli;18*33;594;2009;;;Greenfield, svart dekkjakurl;Sparkvellir
Kópavogsbær;Kársnesskóli, Skólagerði;;850;2014;;;Polytan, sandfylling;Sparkvellir
Kópavogsbær;Arnarsmára;;350;2014;;;Polytan, sandfylling;Sparkvellir
Reykjanesbær;Heiðaskóli;20*40;800;2000;;;Polytan, sandfylling og 23 mm. gúmmímotta;Sparkvellir
Reykjanesbær;Myllubakkaskóli;20*40;800;2000;;;Polytan, sandfylling og 23 mm. gúmmímotta;Sparkvellir
Reykjanesbær;Njarðvíkurskóli;20*40;800;2000;;;Polytan, sandfylling og 23 mm. gúmmímotta;Sparkvellir
Reykjanesbær;Holtaskóli;20*30;600;2000;;;Polytan, sandfylling og 23 mm. gúmmímotta;Sparkvellir
Reykjavík;101 Austurbæjarskóli;20*40;800;2013;;;DOMO, án innfyllingar og 20 mm gúmmímotta;Sparkvellir
Reykjavík;107 KR- völlur;20*40;800;1999;;;Polytan, sandur og 23 mm. gúmmímotta;Sparkvellir
Reykjavík;108 Réttarholtsskóli;16*33;528;2003;;;Polytan, svart dekkjakurl og 20 mm. gúmmímotta;Sparkvellir
