RefNo,Beach name,Country,Region,Survey date,Period,Plastic: Yokes [1],Plastic: Bags [2],Plastic: Small_bags [3],Plastic: Bag_ends [112],Plastic: Drinks [4],Plastic: Cleaner [5],Plastic: Food [6],Plastic: Toiletries [7],Plastic: Oil_small [8],Plastic: Oil_large [9],Plastic: Jerry_cans [10],Plastic: Injection_gun [11],Plastic: Other_bottles [12],Plastic: Crates [13],Plastic: Car_parts [14],Plastic: Caps [15],Plastic: Cigarettelighters [16],Plastic: Pens [17],Plastic: Combs [18],Plastic: Crisp [19],Plastic: Toys [20],Plastic: Cups [21],Plastic: Cutlery [22],Plastic: Fertiliser [23],Plastic: Meshbags [24],Plastic: Gloves [25],Plastic: Gloves_pro [113],Plastic: Lobsterpots [26],Plastic: Fish_tags [114],Plastic: Octopus_pots [27],Plastic: Oyster_nets [28],Plastic: Oyster_trays [29],Plastic: Mussel_sheeting [30],Plastic: Rope [31],Plastic: String [32],Plastic: Fishing_net_small [115],Plastic: Fishing_net_large [116],Plastic: Tangled [33],Plastic: Fishboxes [34],Plastic: Fishing_line [35],Plastic: Light_sticks [36],Plastic: Floats [37],Plastic: Buckets [38],Plastic: Strapping [39],Plastic: Industrial [40],Plastic: Fibre_glass [41],Plastic: Hard_hats [42],Plastic: Shotgun [43],Plastic: Shoes [44],Plastic: Foam_sponge [45],Plastic: Plastic_small [117],Plastic: Plastic_large [46],Plastic: Plastic_vlarge [47],Plastic: Other [48],Rubber: Balloons [49],Rubber: Boots [50],Rubber: Tyres [52],Rubber: Other [53],Cloth: Clothing [54],Cloth: Furnishings [55],Cloth: Sacking [56],Cloth: Shoes [57],Cloth: Other [59],Paper: Bags [60],Paper: Cardboard [61],Paper: Purepak [118],Paper: Tetrapak [62],Paper: Cig_packets [63],Paper: Cig_stubs [64],Paper: Cups [65],Paper: Newspapers [66],Paper: Other [67],Wood: Corks [68],Wood: Pallets [69],Wood: Crates [70],Wood: Lobsterpots [71],Wood: Fish_boxes [119],Wood: Lolly [72],Wood: Brushes [73],Wood: Other_small [74],Wood: Other_large [75],Metal: Aerosol [76],Metal: Caps [77],Metal: Drink [78],Metal: Bbqs [120],Metal: Electrical [79],Metal: Fishing [80],Metal: Foil [81],Metal: Food [82],Metal: Scrap [83],Metal: Oil [84],Metal: Paint_tins [86],Metal: Lobsterpots [87],Metal: Wire [88],Metal: Other_small [89],Metal: Other_large [90],Glass: Bottles [91],Glass: Bulbs [92],Glass: Other [93],Pottery: Construction [94],Pottery: Octopus_pots [95],Pottery: Other [96],San: Condoms [97],San: Buds [98],San: Towels [99],San: Tampons [100],San: Toilet [101],San: Other [102],Med: Containers [103],Med: Syringes [104],Med: Other [105],Faeces: In_bags [121],Pollutants: Wax_small [108],Pollutants: Wax_medium [109],Pollutants: Wax_large [110],Pollutants: Other [111],Survey: Old_rope_small [200],Survey: Old_rope_large [201],Survey: Old_plastic_pieces [202],Survey: Old_gloves [203],Survey: Old_cartons [204],Survey: Old_oildrums_new [205],Survey: Old_oildrums_old [206],Survey: Old_human_faeces [207],Survey: Old_animal_faeces [208],Survey: Old_cloth_rope [210],Survey: Pellets [998],Survey: Remarks [999]
IS001,Raudasandur,Iceland,0. Arctic Seas,02/07/2016,3,0,1,0,0,5,1,1,1,0,0,0,0,0,0,0,22,4,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,8,53,2,6,0,0,1,0,22,0,3,0,0,0,12,0,10,17,73,3,2,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,4,2,0,0,0,0,0,36,31,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,12,0,19,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,
IS001,Raudasandur,Iceland,0. Arctic Seas,01/07/2017,3,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,5,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,34,1,0,0,0,0,0,5,2,1,1,0,0,5,0,3,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,22,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,23,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,
IS002,Budavik,Iceland,0. Arctic Seas,04/07/2016,3,1,1,0,0,5,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2,8,0,1,0,0,0,0,1,0,1,0,0,0,3,0,0,8,11,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,
IS002,Budavik,Iceland,0. Arctic Seas,04/10/2016,4,0,1,0,0,2,0,3,2,0,0,0,0,1,0,0,12,0,1,0,2,2,21,0,0,0,0,0,0,0,0,0,0,0,7,18,17,0,0,0,2,0,4,1,1,0,0,0,4,0,3,43,184,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,1.00,0,0,0,0,0,0,0,0,0,0,0,0,No,
IS002,Budavik,Iceland,0. Arctic Seas,07/04/2017,2,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,
IS002,Budavik,Iceland,0. Arctic Seas,06/07/2017,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,12,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
IS002,Budavik,Iceland,0. Arctic Seas,10/10/2017,4,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,19,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
IS003,Bakkavik,Iceland,0. Arctic Seas,08/07/2016,3,0,2,3,0,1,0,4,0,0,0,0,0,1,0,2,9,1,1,0,5,1,3,4,0,0,0,3,0,0,0,0,0,0,4,73,8,1,6,0,5,0,0,0,4,4,0,0,18,0,4,20,81,2,4,1,0,0,20,8,0,0,2,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,54,0,0,0,6,0,0,0,1,0,2,0,0,0,0,5,0,0,0,25,5,0,1,0,24,8,8,0,62,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,
IS003,Bakkavik,Iceland,0. Arctic Seas,13/10/2016,4,0,2,7,0,0,0,1,1,0,0,0,0,0,0,0,12,0,1,0,7,0,2,8,0,0,0,0,0,0,0,0,0,0,2,50,0,0,7,0,6,0,0,0,3,5,0,0,6,0,0,5,122,0,2,0,0,0,9,7,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,4,0,0,6,0,0,0,0,1,0,0,0,0,1,15,1,0,0,96,30,0,14,0,25,9,4,1,70,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,
IS003,Bakkavik,Iceland,0. Arctic Seas,11/01/2017,1,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,8,0,0,0,0,0,0,1,0,2,0,0,0,5,0,0,0,18,1,6,0,0,0,1,0,0,0,0,3,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,7,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,6,2,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,
