Heilbrigðiseftirlitssvæði	Sveitarfélag	Svæði	Þéttbýli/dreifbýli	Safnræsi/Útrás	Fjöldi safnræsa/útrása	Magn skólps (pe.)	Tegund hreinsunar
Reykjavíkur	Reykjavíkurborg	Svæði 4	Höfuðborgarsvæðið	Öll í þéttbýli	3	427159	Eins þreps
Kjósarsvæðis	Mosfellsbær	Svæði 4	Mosfellsbær	Fer til Reykjavíkur	0		Eins þreps
Kjósarsvæðis	Mosfellsbær	Svæði 4	Byggðakjarni í Mosfellsdal	Öll í þéttbýli	Ekki vitað	495	Eins þreps
Kjósarsvæðis	Seltjarnanesbær	Svæði 4	Seltjarnarnes	Fer til Reykjavíkur	0		Eins þreps
Kjósarsvæðis	Seltjarnanesbær	Svæði 4	Seltjarnarnes	Útrás Lambhaga	1	800	Engin
Hafnarfjarðar- og Kópavogs	Garðabær	Svæði 4	Garðabær	Fer til Reykjavíkur	0		Eins þreps
Hafnarfjarðar- og Kópavogs	Kópavogsbær	Svæði 4	Kópavogur	Fer til Reykjavíkur	0	0	Eins þreps
Hafnarfjarðar- og Kópavogs	Hafnarfjarðarbær	Svæði 4	Hafnarfjörður	Öll í þéttbýli	1	35000	Eins þreps
Hafnarfjarðar- og Kópavogs	Garðabær	Svæði 4	Álftanes	Öll í þéttbýli	1	2530	Eins þreps
Suðurnesja	Reykjanesbær	Svæði 4	Njarðvík og Ásbrú 1	Öll í þéttbýli 1		6392	Eins þreps
Suðurnesja	Reykjanesbær	Svæði 4	Njarðvík og Ásbrú 2	Öll í þéttbýli 2	2	290	Engin
Suðurnesja	Reykjanesbær	Svæði 4	Keflavík	Öll í þéttbýli	1	7756	Engin
Suðurnesja	Reykjanesbær	Svæði 4	Hafnir	Öll í þéttbýli	1	89	Engin
Suðurnesja	Sveitarfélagið Vogar	Svæði 4	Vogar	Öll í þéttbýli	1	1206	Engin
Suðurnesja	Grindavíkurbær	Svæði 4	Grindavík	Öll í þéttbýli	1	19244	Ekki vitað
Suðurnesja	Sveitarfélagið Garður	Svæði 4	Garður	Öll í þéttbýli	1	9589	Ekki vitað
Suðurnesja	Sandgerðisbær	Svæði 4	Sandgerði	Öll í þéttbýli	1	5797	Ekki vitað
Suðurnesja	Sandgerðisbær	Svæði 4	Sandgerðisbær, Flugstöð	Öll í þéttbýli	1	3500	Engin
Vesturlands	Akranes	Svæði 4	Akranes	Öll í þéttbýli	2	9953	Engin
Vesturlands	Hvalfjarðarsveit	Svæði 4	Melahverfið	Öll í þéttbýli	Ekki vitað	120	Ekki vitað
Vesturlands	Hvalfjarðarsveit	Svæði 4	Hlíðarbær	Öll í þéttbýli	Ekki vitað		Ekki vitað
Vesturlands	Hvalfjarðarsveit	Svæði 4	Krossland	Öll í þéttbýli	Ekki vitað		Ekki vitað
Vesturlands	Borgarbyggð	Svæði 4	Borgarnes	Öll í þéttbýli	2	1950	Engin
Vesturlands	Borgarbyggð	Svæði 4	Hvanneyri	Öll í þéttbýli	Ekki vitað	260	Ekki vitað
Vesturlands	Borgarbyggð	Svæði 4	Kleppjárnsreykir	Öll í þéttbýli	Ekki vitað	51	Ekki vitað
Vesturlands	Borgarbyggð	Svæði 4	Bifröst	Öll í þéttbýli	Ekki vitað	208	Ekki vitað
Vesturlands	Stykkishólmsbær	Svæði 1	Stykkishólmur	Öll í þéttbýli	12	2668	Engin
Vesturlands	Snæfellsbær	Svæði 1	Ólafsvík	Öll í þéttbýli	3	2304	Engin
Vesturlands	Snæfellsbær	Svæði 1	Hellissandur	Öll í þéttbýli	Ekki vitað	378	Ekki vitað
Vesturlands	Snæfellsbær	Svæði 1	Rif	Öll í þéttbýli	Ekki vitað	163	Ekki vitað
Vesturlands	Dalabyggð	Svæði 1	Búðardalur	Öll í þéttbýli	Ekki vitað	274	Ekki vitað
Vesturlands	Grundarfjarðarbær	Svæði 1	Grundarfjörður	Öll í þéttbýli	5	6485	Engin
Vestfjarða	Ísafjarðarbær	Svæði 1	Hnífsdalur	Öll í þéttbýli	1	194	Engin
Vestfjarða	Ísafjarðarbær	Svæði 1	Þingeyri	Öll í þéttbýli	Ekki vitað	253	Engin
Vestfjarða	Ísafjarðarbær	Svæði 1	Flateyri	Öll í þéttbýli	Ekki vitað	206	Engin
Vestfjarða	Ísafjarðarbær	Svæði 1	Suðureyri	Öll í þéttbýli	Ekki vitað	278	Engin
Vestfjarða	Ísafjarðarbær	Svæði 1	Ísafjörður	Öll í þéttbýli	10	2500	Engin
Vestfjarða	Bolungarvíkurkaupstaður	Svæði 1	Bolungarvík	Öll í þéttbýli	11	890	Engin
Vestfjarða	Kaldrananeshreppur	Svæði 1	Drangsnes	Öll í þéttbýli	Ekki vitað	73	Engin
Vestfjarða	Strandabyggð	Svæði 1	Hólmavík	Öll í þéttbýli	Ekki vitað	496	Engin
Vestfjarða	Súðavíkurhreppur	Svæði 1	Súðavík	Öll í þéttbýli	Ekki vitað	150	Engin
Vestfjarða	Vesturbyggð	Svæði 1	Bíldudalur	Öll í þéttbýli	Ekki vitað	353	Engin
Vestfjarða	Vesturbyggð	Svæði 1	Patreksfjörður	Öll í þéttbýli	7	662	Engin
Vestfjarða	Reykhólahreppur	Svæði 1	Reykhólar	Öll í þéttbýli	Ekki vitað	70	Engin
Vestfjarða	Tálknafjarðarhreppur	Svæði 1	Tálknafjörður	Öll í þéttbýli	Ekki vitað	280	Engin
Norðurlands vestra	Sveitarfélagið Skagafjörður	Svæði 1	Sauðárkrókur	Öll í þéttbýli	11	6089	Engin
Norðurlands vestra	Sveitarfélagið Skagafjörður	Svæði 1	Hofsós	Öll í þéttbýli	1	200	Engin
Norðurlands vestra	Sveitarfélagið Skagafjörður	Svæði 1	Varmahlíð	Öll í þéttbýli	0	400	Tveggja þrepa
Norðurlands vestra	Sveitarfélagið Skagafjörður	Svæði 1	Hólar í Hjaltadal	Öll í þéttbýli	0	200	Tveggja þrepa
Norðurlands vestra	Blönduósbær	Svæði 1	Blönduós vestur	Öll í þéttbýli	2	205	Eins þreps
Norðurlands vestra	Húnaþing vestra	Svæði 1	Hvammstangi	Öll í þéttbýli	3	500	Rotþrær
Norðurlands vestra	Sveitarfélagið Skagaströnd	Svæði 1	Skagaströnd	Öll í þéttbýli	3	514	Engin
Norðurlands vestra	Fjallabyggð	Svæði 2	Ólafsfjörður	Öll í þéttbýli	3	838	Engin
Norðurlands vestra	Fjallabyggð	Svæði 2	Siglufjörður	Öll í þéttbýli	6	1217	Engin
Norðurlands eystra	Akureyrarkaupstaður	Svæði 2	Akureyri	Öll í þéttbýli	3	78000	Engin
Norðurlands eystra	Akureyrarkaupstaður	Svæði 2	Hrísey	Öll í þéttbýli	Ekki vitað	290	Engin
Norðurlands eystra	Akureyrarkaupstaður	Svæði 2	Grímsey	Öll í þéttbýli	Ekki vitað	120	Engin
Norðurlands eystra	Norðurþing	Svæði 2	Húsavík	Öll í þéttbýli	2	3530	Engin
Norðurlands eystra	Norðurþing	Svæði 2	Kópasker	Öll í þéttbýli	1	375	Engin
Norðurlands eystra	Norðurþing	Svæði 2	Raufarhöfn	Öll í þéttbýli	Ekki vitað	300	Engin
Norðurlands eystra	Dalvíkurbyggð	Svæði 2	Litli-Árskógssandur	Öll í þéttbýli	1	108	Engin
Norðurlands eystra	Dalvíkurbyggð	Svæði 2	Hauganes	Öll í þéttbýli	2	110	Engin
Norðurlands eystra	Dalvíkurbyggð	Svæði 2	Dalvík	Öll í þéttbýli	1	5000	Engin
Norðurlands eystra	Eyjafjarðarsveit	Svæði 2	Kristnes	Öll í þéttbýli	Ekki vitað	55	Ekki vitað
Norðurlands eystra	Eyjafjarðarsveit	Svæði 2	Hrafnagilshverfi	Öll í þéttbýli	Ekki vitað	276	Ekki vitað
Norðurlands eystra	Eyjafjarðarsveit	Svæði 2	Brúnahlíð	Öll í þéttbýli	Ekki vitað	78	Ekki vitað
